short_sma,long_sma,n_stocks,n_runs,median_xirr,mean_xirr,std_xirr,p25_xirr,p75_xirr,median_return,mean_return,median_drawdown,mean_drawdown,mean_sharpe,pct_profitable
70,140,25,1000,30.15324067468592,45.51183966674509,78.12009308582887,-1.8287020688589117,70.3707758743829,30.76372335822964,46.725584812461236,30.562348664349244,32.33278168895828,0.8089880886347514,73.5
70,150,15,1000,38.77512291909402,81.01332511663833,167.08081423004927,0.35632815327095724,85.28886082333369,39.74553054863986,83.9392057255818,31.05092191237,33.08394512964191,0.8827793228220406,75.3
70,150,25,1000,40.92749507806397,59.34411773409508,87.30758164692452,4.582702201400118,88.37097928808595,41.90066249256185,60.999395587093645,29.312863136032032,30.880406756814477,0.957475025096628,78.3
80,100,15,1000,26.058599134447523,51.08368969986951,122.83012787537614,-5.838641850735443,66.91620788828914,26.309969548955486,52.81066303969776,33.799118759607154,35.845952406536384,0.6608585911924383,69.6
80,100,25,1000,29.22293547525662,44.58141049181039,85.66041776405937,-6.966611352641619,65.68238592234603,29.430093698037105,45.88938711800525,31.59735894087575,32.04151314282901,0.747514964551845,69.0
80,110,15,1000,35.08022633375455,67.7422123205992,131.137485222333,-1.0865869609925611,88.34672529735164,35.635159404145995,69.74355066992229,33.913914825577365,35.577782381946925,0.7867522015024699,74.4
80,110,25,1000,36.07110274797226,59.41651815699964,90.55804838347814,-0.8360727051865219,87.33629501742807,36.92292738827081,61.174510940918815,30.655246828363186,31.440172483784128,0.831917309080724,74.2
80,120,15,1000,31.222071895957825,83.82530315095676,228.33063023875027,-1.1844785150272292,78.2811739037685,31.721697039393185,87.05716539160362,32.326221043577924,32.944046255321055,0.8449015385626948,73.8
80,120,25,1000,37.832170144782594,49.54813950864754,69.00850411985292,-0.5161027240604299,77.12832228077855,38.43933561002267,50.94965368611859,29.96558687049763,31.168975643818857,0.9474099177379833,74.5
80,130,15,1000,33.1620366369624,77.25077918406402,164.28055695331864,-0.39393361678388694,81.71162638238303,33.31790300107391,80.08776631361685,30.796064423365227,31.71853242064071,0.7982265593827206,74.6
80,130,25,1000,38.00129439458996,61.754423586894596,108.25615448794537,2.804398533878949,77.84988337594778,38.67128080599389,63.574016146112974,28.0831533007047,29.03988655064156,0.946189552139756,77.0
80,140,15,1000,31.20731304024215,52.70708614277294,93.92448675560631,-3.5780046983885567,80.33055405419674,31.657725965013263,54.279281543076515,32.124008159335155,33.18749247440571,0.7839681537378015,72.0
80,140,25,1000,33.083022444346284,46.155112582867204,66.89153451663337,1.8884968374249467,76.56982390500698,33.705732149002785,47.324772445604786,29.216070275486928,30.172123139391434,0.8836955150217816,76.7
80,150,15,1000,28.212700682439827,51.883126576582505,97.23578713165537,-1.542013261797401,72.7485345819327,28.946991653010933,53.476274989076906,31.881171580394625,34.33519158264608,0.7524300546772019,73.6
80,150,25,1000,36.01172622842988,50.90040290555596,99.04638764399179,2.820234142754013,70.88483451711276,36.61795729635168,52.2345029126006,29.954505632951587,31.437553484343503,0.8485697470232488,77.9
