date,symbol,action,qty,price,execution_price,cost,portfolio_value
2009-12-04,HINDOILEXP.NS,BUY,661,272.89602237757464,272.89602237757464,214.50864560284415,929972.4580337899
2009-12-21,JPPOWER.NS,SELL,962,72.67499923706055,72.67499923706055,88.58227463689911,936511.3126926705
2009-12-21,JSWHL.NS,BUY,44,1576.9749755859375,1576.9749755859375,82.51323491696483,935195.6983835348
2010-01-08,WEBELSOLAR.NS,BUY,1319,15.475000381469727,15.475000381469727,24.272896251744097,1004541.7714231046
2010-03-02,DELTACORP.NS,SELL,1970,35.71074676664733,35.71074676664733,89.0362094344957,1000401.6689048097
2010-03-03,PVP.NS,SELL,2459,24.074999809265137,24.074999809265137,77.44966036240876,1007647.6249079376
2010-03-05,FCSSOFT.NS,BUY,23581,7.174999952316284,7.174999952316284,201.2010563246552,1006719.175299529
2010-03-15,HINDPETRO.NS,SELL,1656,24.756761320824545,24.756761320824545,58.53330292705709,962021.9812275986
2010-03-16,HINDOILEXP.NS,SELL,661,237.89208183642882,237.89208183642882,179.33696148477324,965486.3308701899
2010-03-19,BANCOINDIA.NS,BUY,5100,19.387824895112022,19.387824895112022,117.58323389309562,968966.4012271605
2010-03-19,SAKSOFT.NS,BUY,32940,3.0019465807724326,3.0019465807724326,117.59062272588086,967922.736317241
2010-03-25,WEBELSOLAR.NS,SELL,1319,12.394999980926514,12.394999980926514,32.91949359373648,956670.8680717208
2010-03-25,ANIKINDS.NS,BUY,280,58.04536097049842,58.04536097049842,19.32732204968696,956277.4375478047
2010-04-01,DIGISPICE.NS,BUY,619,32.30727921260967,32.30727921260967,23.781386419194348,990169.8743724355
2010-04-16,BPCL.NS,SELL,834,19.104333958176664,19.104333958176664,32.48720629799871,1063266.1510692758
2010-04-16,WHIRLPOOL.NS,BUY,95,166.317531113076,166.317531113076,18.789177555997714,1063143.1849766271
2010-04-21,SAKSOFT.NS,SELL,32940,3.8297473723634763,3.8297473723634763,147.02400443563982,1028559.0794969611
2010-04-21,ALICON.NS,BUY,1239,101.64446586483828,101.64446586483828,149.76184442137404,1000789.6392500823
2010-05-20,FCSSOFT.NS,SELL,23581,3.774999976158142,3.774999976158142,108.43565435715982,974759.0368399296
2010-05-24,UMESLTD.NS,BUY,2808,38.75,38.75,129.39424056,971614.239103581
2010-05-31,JSWHL.NS,SELL,44,1694.375,1694.375,93.40316873999998,955204.2590648765
2010-05-31,ABBOTINDIA.NS,BUY,85,865.1587705327911,865.1587705327911,87.4502139191037,954437.7048351623
2010-06-14,ANIKINDS.NS,SELL,280,58.2185577563026,58.2185577563026,32.86981183298978,1024074.3506149548
2010-06-14,GPIL.NS,BUY,740,50.03988386209046,50.03988386209046,44.03460940937312,1023562.1467809726
2010-08-27,ALICON.NS,SELL,1239,92.16209191185035,92.16209191185035,134.5922935564658,1159635.4475348694
2010-09-14,PAISALO.NS,BUY,12587,13.813361167907715,13.813361167907715,206.7605767820759,1215040.0749967226
2010-09-29,GPIL.NS,SELL,740,50.332103492814845,50.332103492814845,54.63489634464452,1179356.7175094932
2010-09-29,VAKRANGEE.NS,BUY,7408,5.015336100901456,5.015336100901456,44.182181129714365,1178762.1112457542
2010-10-05,UMESLTD.NS,SELL,2808,46.75,46.75,152.346790224,1196917.1332051489
2010-10-05,INSECTICID.NS,BUY,1740,86.69911579909575,86.69911579909575,179.39488344933957,1195299.9934145247
2010-12-09,PAISALO.NS,SELL,12587,11.019377714796292,11.019377714796292,160.06465404037456,1182931.0387477034
2010-12-09,DCM.NS,BUY,13085,13.63419514401235,13.63419514401235,212.15309327927736,1169813.096513832
2011-01-03,BANCOINDIA.NS,SELL,5100,19.288545894084002,19.288545894084002,118.15538923695624,1297707.9399097273
2011-01-03,SETFGOLD.NS,BUY,5716,20.663249969482422,20.663249969482422,140.45492924567395,1297071.621806043
